,State,Males 19 and Under,Males 20-24,Males 25-29,Males 30-34,Males 35-39,Males 40-44,Males 45-49,Males 50-54,Males 55-59,Males 60-64,Males 65-69,Males 70-74,Males 75-79,Males 80-84,Males 85 and Over,Total Licensed Male Drivers (Table DL-22),Males under 16,Males 16,Males 17,Males 18,Males 19,Males 20,Males 21,Males 22,Males 23,Males 24,Females 19 and Under,Females 20-24,Females 25-29,Females 30-34,Females 35-39,Females 40-44,Females 45-49,Females 50-54,Females 55-59,Females 60-64,Females 65-69,Females 70-74,Females 75-79,Females 80-84,Females 85 and Over,Total Licensed Female Drivers (Table DL-22),Females under 16,Females 16,Females 17,Females 18,Females 19,Females 20,Females 21,Females 22,Females 23,Females 24,Total 19 and Under,Total 20-24,Total 25-29,Total 30-34,Total 35-39,Total 40-44,Total 45-49,Total 50-54,Total 55-59,Total 60-64,Total 65-69,Total 70-74,Total 75-79,Total 80-84,Total 85 and Over,Total Licensed Drivers (Table DL-22),Total under 16,Total 16,Total 17,Total 18,Total 19,Total 20,Total 21,Total 22,Total 23,Total 24,Licensed Male Drivers (Table DL-1C),Percent Male Drivers of Total,Licensed Female Drivers (Table DL-1C),Percent Female Drivers of Total,Total Licensed Drivers (Table DL-1C),Ratio of Licensed Drivers to Private and Commercial Motor Vehicles Registered,Total Resident Population,Male Driving Age Population (16 and Over),Female Driving Age Population (16 and Over),Total Driving Age Population (16 and Over),Drivers Per 1000 Total Resident Population,Drivers per 1000 Driving Age Population
0,Alabama,108101,168232.0,165330,152778,142642,153246,152732,167362,162836,143788,125217,92183,65310,45943,41323,1887023.0,0,23594,26233,28437,29837,31674,33078,33815,34241,35424.0,105307,165240.0,170609,161729,153486,160259,159202,176291,172804,154558,133669,99983,74355,53993,53034,1994519.0,0,23274,25911,27316,28806,30735,32036,33051,34094,35324.0,213408,333472.0,335939,314507,296128,313505,311934,343653,335640,298346,258886,192166,139665,99936,94357,3881542.0,0,46868,52144,55753,58643,62409,65114,66866,68335,70748.0,1887023.0,48.62,1994519.0,51.38,3881542.0,0.7294883769881467,4849377,1850520,2018569,3869089,800.4207550784358,1003.2185871144344
1,Alaska,9893,22632.0,28185,27590,22809,21394,20951,23795,24005,19693,13396,8012,4187,2417,1786,250745.0,0,1268,2165,2916,3544,3959,3859,4379,4933,5502.0,10770,24971.0,30767,30020,24937,23371,23318,26416,26395,23294,16561,10048,4203,2911,3017,280999.0,0,1371,2320,3135,3944,4360,4257,4849,5445,6060.0,20663,47603.0,58952,57610,47746,44765,44269,50211,50400,42987,29957,18060,8390,5328,4803,531744.0,0,2639,4485,6051,7488,8319,8116,9228,10378,11562.0,250745.0,47.16,280999.0,52.84,531744.0,0.6775657975048828,736732,301326,268918,570244,721.7604230575025,932.4850414910109
2,Arizona,86800,190765.0,214721,230400,226520,236581,226224,232476,215084,190143,145608,106854,72653,46453,32383,2453665.0,0,10261,18893,26465,31181,34064,36645,38348,40481,41227.0,80630,183501.0,212098,227610,217635,221187,212470,227927,220860,200558,153297,112286,74492,47629,35956,2428136.0,0,9907,17803,24280,28640,32131,34813,36996,39111,40450.0,167430,374266.0,426819,458010,444155,457768,438694,460403,435944,390701,298905,219140,147145,94082,68339,4881801.0,0,20168,36696,50745,59821,66195,71458,75344,79592,81677.0,2453665.0,50.26,2428136.0,49.74,4881801.0,0.8843397698664273,6731484,2609768,2681353,5291121,725.21913444346,922.6402117812086
3,Arkansas,41944,88496.0,88882,87503,83362,85781,85243,95108,90627,81802,72868,55075,38275,24773,19135,1038874.0,0,5288,9690,12210,14756,16325,17614,17302,18230,19025.0,40799,87055.0,90468,89899,84979,86465,85695,97616,94759,86528,77374,58868,41720,28160,22614,1072999.0,0,5237,9355,12120,14087,15663,16911,17395,17973,19113.0,82743,175551.0,179350,177402,168341,172246,170938,192724,185386,168330,150242,113943,79995,52933,41749,2111873.0,0,10525,19045,24330,28843,31988,34525,34697,36203,38138.0,1038874.0,49.19,1072999.0,50.81,2111873.0,0.7737768406242614,2966369,1136553,1202216,2338769,711.9387372238584,902.9848608391851
4,California,451549,1191309.0,1220965,1180988,1069849,1115486,1170370,1230526,1134255,940319,735602,475477,305385,196036,144098,12562214.0,0,33312,79717,143499,195021,214289,233646,243600,247281,252493.0,414348,1121941.0,1197632,1174187,1070204,1103654,1117697,1182180,1101591,926379,726612,470745,299963,192425,151574,12251132.0,0,35376,76235,129648,173089,197302,210647,228685,238825,246482.0,865897,2313250.0,2418597,2355175,2140053,2219140,2288067,2412706,2235846,1866698,1462214,946222,605348,388461,295672,24813346.0,0,68688,155952,273147,368110,411591,444293,472285,486106,498975.0,12562214.0,50.63,12251132.0,49.37,24813346.0,0.8879870727089265,38802500,15129276,15565575,30694851,639.4780233232394,808.3878954160748
5,Colorado,76805,155179.0,187790,191762,176195,178830,173833,188009,184646,160489,125734,76450,49754,33238,28054,1986768.0,0,9128,17498,23448,26731,28368,27376,30829,32999,35607.0,73973,148595.0,177833,179440,162898,161439,159978,178778,176912,155870,124032,69674,48368,35889,42915,1896594.0,0,9315,17162,22315,25181,26998,26286,29504,31752,34055.0,150778,303774.0,365623,371202,339093,340269,333811,366787,361558,316359,249766,146124,98122,69127,70969,3883362.0,0,18443,34660,45763,51912,55366,53662,60333,64751,69662.0,1986768.0,51.16,1896594.0,48.84,3883362.0,0.815284947333681,5355866,2121402,2122655,4244057,725.0670573162212,915.0117446584718
6,Connecticut,45178,101485.0,107861,99230,94541,102306,118495,130561,124861,101998,81967,57173,37172,26638,24743,1254209.0,0,3174,10355,14780,16869,18619,19766,20404,21330,21366.0,44173,96715.0,104345,97812,95409,104304,122069,133751,127673,104889,87437,62602,42872,32183,32145,1288379.0,0,3400,10421,14241,16111,17764,19037,19014,20527,20373.0,89351,198200.0,212206,197042,189950,206610,240564,264312,252534,206887,169404,119775,80044,58821,56888,2542588.0,0,6574,20776,29021,32980,36383,38803,39418,41857,41739.0,1254209.0,49.33,1288379.0,50.67,2542588.0,0.8999703028927956,3596677,1408386,1510604,2918990,706.9269773182302,871.0506031195722
7,Delaware,17443,30329.0,31404,30547,26666,28455,30205,32644,30943,26872,24461,18252,12457,8592,6972,356242.0,0,3401,4266,4664,5112,5588,5884,5932,6371,6554.0,18048,30155.0,32738,31363,28360,29765,31967,34496,33395,29674,26847,19714,13118,9023,7444,376107.0,0,3569,4558,4735,5186,5532,5743,5955,6314,6611.0,35491,60484.0,64142,61910,55026,58220,62172,67140,64338,56546,51308,37966,25575,17615,14416,732349.0,0,6970,8824,9399,10298,11120,11627,11887,12685,13165.0,356242.0,48.64,376107.0,51.36,732349.0,0.7681050569416537,935614,360500,393480,753980,782.7469447870596,971.3109101037163
8,Dist. of Col.,346,6593.0,24942,35162,28738,21393,18100,16572,14297,12146,10222,6959,4415,2888,2660,205433.0,0,0,0,87,259,425,701,1151,1814,2502.0,103,7204.0,30642,39804,29114,19879,16000,14238,13620,13248,11898,7798,4874,3081,2960,214463.0,0,0,1,77,25,431,592,1215,1970,2996.0,449,13797.0,55584,74966,57852,41272,34100,30810,27917,25394,22120,14757,9289,5969,5620,419896.0,0,0,1,164,284,856,1293,2366,3784,5498.0,205433.0,48.92,214463.0,51.08,419896.0,1.3354746408052756,658893,259696,294404,554100,637.2749444902282,757.7982313661794
9,Florida,227065,515189.0,546699,527079,505778,563181,600028,661050,612003,545107,509190,393777,274742,181371,139342,6801601.0,2,22834,45584,71415,87230,94252,100434,103189,105909,111405.0,218447,506609.0,564773,555941,534331,581674,610508,683005,651716,593813,541807,414171,287820,192864,159267,7096746.0,0,23558,45286,67628,81975,90761,95841,101615,105613,112779.0,445512,1021798.0,1111472,1083020,1040109,1144855,1210536,1344055,1263719,1138920,1050997,807948,562562,374235,298609,13898347.0,2,46392,90870,139043,169205,185013,196275,204804,211522,224184.0,6801601.0,48.94,7096746.0,51.06,13898347.0,0.9123069018842953,19893297,7893617,8416529,16310146,698.64472440139,852.1289141127247
